time,Open,Close,High,Low,Volume,Trade_Count,num_blocks,avg_diff,avg_gas_limit,total_gas_used,avg_block_size,num_transactions
2021-09-21 03:00:00+00:00,3018.21,2996.5,3018.49,2987.95,990.48189298,798.0,260,9160125424986954,30013745.784615394,4018979823,96625.11538461533,46065
2021-09-21 04:00:00+00:00,2996.5,2975.57,3019.99,2967.52,1344.90144717,886.0,248,9010563445646338,30010039.76209679,3785211697,90423.70161290329,44274
2021-09-21 05:00:00+00:00,2975.96,2994.24,3006.62,2948.83,1815.98381306,993.0,287,9033459907673478,30015310.70383276,4422365751,105820.80836236931,49954
2021-09-21 06:00:00+00:00,2994.93,3034.3,3047.33,2994.93,1942.43542547,1062.0,259,9074346816531432,30006558.73745171,3993431594,81033.76833976831,44225
2021-09-21 07:00:00+00:00,3035.97,3071.8,3071.8,3027.13,2050.30577632,956.0,279,9074844767887192,30012599.774193566,4344768918,90735.00358422943,59341
2021-09-21 08:00:00+00:00,3071.79,3076.6,3088.77,3055.66,1078.23415702,829.0,297,9185279175530272,30014994.205387216,4556113129,78893.92255892258,60663
2021-09-21 09:00:00+00:00,3078.45,3047.61,3086.78,3040.0,5809.65737884,1079.0,264,9234483205041831,30022969.71969697,4045241769,78740.50378787878,51450
2021-09-21 10:00:00+00:00,3048.95,3080.0,3105.01,3041.64,851.6961681,911.0,272,9307295017987874,30009798.54411765,4218697451,73113.10294117648,49641
2021-09-21 11:00:00+00:00,3080.0,3061.47,3087.0,3057.3,655.85470394,584.0,275,9255093162515761,30012354.69818183,4220192321,79199.58545454543,49155
2021-09-21 12:00:00+00:00,3055.55,3026.84,3084.59,3022.91,2053.20114505,1101.0,264,9288423303893474,30014537.356060617,4136683175,73875.00757575753,46330
2021-09-21 13:00:00+00:00,3028.87,3031.23,3056.12,3008.49,1347.4469934,976.0,289,9307395802379542,30007399.10380624,4427944820,77357.55363321799,51701
2021-09-21 14:00:00+00:00,3031.24,2990.53,3034.97,2963.22,2824.74106875,1488.0,257,9383167551730632,30009004.24124513,4057227876,78533.89494163418,51803
2021-09-21 15:00:00+00:00,2990.54,3036.17,3059.99,2985.0,2133.386335,1186.0,256,9247896623419469,30008924.20703125,3963225205,82631.52734375006,47050
2021-09-21 16:00:00+00:00,3036.02,2942.87,3046.54,2933.91,2353.11351854,1576.0,287,9285701041921424,30012758.45993033,4356387114,99094.56445993039,52147
2021-09-21 17:00:00+00:00,2945.53,2896.95,2952.13,2876.0,3418.07458018,2367.0,291,9346994779023251,30013991.27835053,4559988274,76623.23367697599,46844
2021-09-21 18:00:00+00:00,2897.31,2900.23,2953.43,2888.99,2393.79170405,1703.0,238,9388769819798860,30009722.113445386,3669688894,84123.16806722693,40096
2021-09-21 19:00:00+00:00,2900.11,2888.2,2919.54,2865.0,1591.47457556,1393.0,275,9247063350956207,30006603.447272725,4255949385,80666.82545454548,59115
2021-09-21 20:00:00+00:00,2888.21,2765.03,2919.99,2751.31,9302.73402004,4830.0,293,9315641512908832,30009896.51194541,4504083490,92283.16723549496,54034
2021-09-21 21:00:00+00:00,2763.16,2822.27,2882.3,2651.0,11563.79234876,6340.0,272,9424232790126966,30018071.205882344,4189762293,67574.94117647057,45194
2021-09-21 22:00:00+00:00,2820.01,2724.09,2833.05,2715.26,4508.91560236,2218.0,253,9362864182723776,30007408.13833992,3864113029,94089.9367588933,43726
2021-09-21 23:00:00+00:00,2723.8,2764.81,2772.1,2720.01,3280.90436204,1997.0,271,9337696785903446,30017401.90405905,4163716143,83006.04428044286,47530
2021-09-22 00:00:00+00:00,2764.8,2773.1,2827.42,2738.76,2693.17528872,2080.0,264,9326435346342290,30015534.30681817,4045683289,90984.84848484851,47559
2021-09-22 01:00:00+00:00,2773.1,2869.2,2890.0,2757.65,2818.65943502,2080.0,267,9267228727868519,30009542.02247192,4115520865,92404.91760299631,51503
2021-09-22 02:00:00+00:00,2869.62,2864.8,2876.51,2851.16,846.54172582,771.0,239,9172339017532347,30014828.305439346,3679922544,92833.04184100422,56213
2021-09-22 03:00:00+00:00,2862.1,2866.92,2894.96,2860.76,947.31894679,767.0,282,9141293461947334,30016824.237588666,4308297910,89181.29787234047,49518
2021-09-22 04:00:00+00:00,2869.61,2843.61,2875.73,2833.63,1154.36285884,671.0,269,9212449084907865,30012088.241635706,4168905437,81380.30483271374,44590
2021-09-22 05:00:00+00:00,2845.99,2871.69,2891.69,2845.99,907.83523516,764.0,282,9231336670651540,30011112.787234034,4332284913,74477.67021276598,46837
2021-09-22 06:00:00+00:00,2873.61,2929.03,2936.17,2853.27,1583.84185498,1213.0,272,9234112699253426,30014755.908088226,4159313971,78048.25367647057,46794
2021-09-22 07:00:00+00:00,2929.88,2945.08,2961.17,2915.91,1212.31981468,985.0,256,9198112534590371,30008694.515625004,4044722615,86251.64453125,57894
2021-09-22 08:00:00+00:00,2945.0,2927.08,2956.35,2923.0,828.3161241,503.0,258,9168384197341728,30010443.88372091,3956815623,73349.82558139534,53519
2021-09-22 09:00:00+00:00,2928.46,2943.92,2943.92,2910.7,764.300751,642.0,285,9176357170226309,30012949.6035088,4358053935,71379.12631578941,52607
2021-09-22 10:00:00+00:00,2943.92,2931.81,2951.11,2910.7,637.52663588,639.0,253,9170407659368568,30010418.84980235,3905900338,72889.49407114626,48091
2021-09-22 11:00:00+00:00,2932.32,2894.18,2934.98,2881.7,1701.78644611,798.0,268,9053507618131537,30016609.940298505,4121980725,74913.84701492533,45744
2021-09-22 12:00:00+00:00,2894.0,2920.75,2922.34,2882.7,721.65569496,795.0,272,9052569972650512,30022619.30147058,4164209713,80383.72426470582,48412
2021-09-22 13:00:00+00:00,2921.11,2949.99,2974.72,2914.4,1768.59104241,1348.0,256,9066764923087649,30012357.390624996,3999813918,88457.41015625001,47246
2021-09-22 14:00:00+00:00,2949.99,2933.66,2964.97,2926.4,10506.12565622,3391.0,256,8921697221717802,30008007.261718746,3985658940,88626.35937499999,47820
2021-09-22 15:00:00+00:00,2933.88,3009.28,3012.23,2933.88,2828.67780661,1974.0,271,8909542722662820,30008970.025830254,4215184983,93521.88560885613,48256
2021-09-22 16:00:00+00:00,3009.15,3043.86,3048.0,2996.91,2096.18009449,1748.0,264,8911884737068355,30009097.33333332,4079135165,84489.31818181822,47134
2021-09-22 17:00:00+00:00,3043.86,3018.3,3053.78,2996.42,2416.20223029,1330.0,230,8774294500889429,30008784.93913045,3535591553,85315.97391304349,44024
2021-09-22 18:00:00+00:00,3016.37,3012.61,3090.0,3006.6,3940.42032017,2696.0,271,8715794202140791,30011350.10701107,4173272833,94966.09963099631,49280
2021-09-22 19:00:00+00:00,3013.4,3025.27,3042.69,2993.38,3737.05593843,1381.0,317,8880215292721154,30010995.255520504,4841184562,89672.91798107252,53403
2021-09-22 20:00:00+00:00,3024.96,3026.74,3035.11,3008.57,1213.51310334,828.0,291,9156077354525507,30012782.83161513,4468074370,86932.03436426116,56219
2021-09-22 21:00:00+00:00,3026.42,3035.8,3057.75,3015.7,1065.12737192,924.0,269,9272231280914980,30012305.951672863,4141764141,88649.49814126402,49120
2021-09-22 22:00:00+00:00,3035.8,3072.51,3073.0,3031.68,1738.63799633,1049.0,297,9387224142900591,30011832.030303035,4775462174,68123.17171717169,42358
2021-09-22 23:00:00+00:00,3071.94,3077.49,3079.38,3048.48,3289.09929607,987.0,248,9404216674546718,30014881.06451613,3791653409,91618.82661290318,39889
2021-09-23 00:00:00+00:00,3077.49,3043.93,3095.0,3042.67,2623.13779153,1477.0,245,9246507580687048,30015775.522448987,3602992847,85815.09795918364,38851
2021-09-23 01:00:00+00:00,3043.51,3070.5,3076.16,3038.21,1138.83391957,734.0,270,9186616000509860,30012581.69259261,4203193592,90518.55185185182,47310
2021-09-23 02:00:00+00:00,3070.48,3077.15,3085.0,3055.25,1161.51423199,640.0,247,9021414064438710,30017789.42510121,3776123878,96863.25506072873,48028
2021-09-23 03:00:00+00:00,3077.16,3118.0,3120.0,3068.07,1380.17657575,1278.0,271,8999652258786257,30011349.22878229,4244826662,85102.15498154979,59231
2021-09-23 04:00:00+00:00,3118.0,3114.58,3133.85,3104.89,1961.31756517,929.0,255,8918085271707283,30011602.47058824,3850054013,80378.24313725498,45374
2021-09-23 05:00:00+00:00,3115.99,3113.02,3133.89,3107.22,1034.74908335,456.0,268,8857741705688686,30009944.847014915,4193380143,71087.76865671645,40277
2021-09-23 06:00:00+00:00,3113.98,3136.68,3139.09,3101.2,438.21013371,547.0,277,8876590873058231,30008668.96750903,4237354786,72536.80144404335,48792
2021-09-23 07:00:00+00:00,3137.03,3146.98,3146.99,3116.64,693.47523581,513.0,256,8850264886218453,30008236.902343754,3989820882,82382.28515624997,59761
2021-09-23 08:00:00+00:00,3147.0,3122.84,3148.23,3118.85,890.24003832,590.0,289,8908207651526062,30010741.84775086,4424924587,71906.46712802765,57019
2021-09-23 09:00:00+00:00,3121.03,3117.28,3137.89,3110.0,548.30356784,512.0,256,8978379373036732,30017275.15234375,3931819301,72966.77734375001,48623
2021-09-23 10:00:00+00:00,3114.01,3089.3,3126.64,3068.03,1751.91250174,940.0,279,8972025017873432,30009344.21146951,4283125021,72503.95340501794,50761
2021-09-23 11:00:00+00:00,3087.52,3058.43,3090.59,3040.79,1429.80365674,739.0,269,8995026070301603,30021999.10780669,4195199592,74021.45724907068,49296
2021-09-23 12:00:00+00:00,3057.0,3071.4,3094.46,3049.13,859.73499673,720.0,280,9001271226506201,30012242.092857145,4330326436,80439.02857142853,52870
2021-09-23 13:00:00+00:00,3071.73,3113.75,3123.04,3065.44,1074.4998077999999,928.0,263,9030440927150657,30016822.52851709,4066709903,79029.87832699622,47907
2021-09-23 14:00:00+00:00,3115.1,3136.32,3141.06,3111.07,1048.64317523,958.0,278,9053818588464127,30019286.94604316,4306506253,81149.67985611514,53054
2021-09-23 15:00:00+00:00,3137.18,3094.31,3139.02,3090.1,1271.99187712,1072.0,248,9055341303257643,30015237.108870964,3893325370,83760.98790322582,51773
2021-09-23 16:00:00+00:00,3098.84,3103.88,3117.49,3088.0,918.39641227,755.0,256,8933207821921018,30014754.12109374,3982426820,92128.58984375,57509
2021-09-23 17:00:00+00:00,3107.11,3162.18,3173.94,3107.11,4179.02134127,1707.0,269,8820603486866633,30013286.04832713,4057613584,91532.88847583644,48943
